,10,20,30,40,50,60
arima,0.0062576139769881115,0.0062576139769881115,0.0062576139769881115,0.0062576139769881115,0.0062576139769881115,0.0062576139769881115
da-rnn,0.019765461252628447,0.010877257234243319,0.013611705111607744,0.005530535842985717,0.010053030887120616,0.005006932860384876
deep-ar,0.006949364339261263,0.0053659015510910055,0.005402237452296836,0.005101429162858044,0.004849141992256654,0.005095185417850159
deep-state,0.020131239900746868,0.05451111644975339,0.03501757877049517,0.06503639875754148,0.010834018293206375,0.018970220734333063
lstm,0.004949158932773251,0.004751454445119525,0.004918091927725245,0.004673879636994904,0.0050511473218124905,0.0052596728230675455
mlp,0.0039848992528876085,0.004502732540570865,0.003978851391972331,0.004074676445809487,0.0038872433804778605,0.004148015551497334
rf,0.0045655152280157495,0.0038743114686291403,0.003929917412004137,0.003984198212121588,0.00399766487126707,0.004211927361446381
svr,0.00451225046357411,0.0064940845668198565,0.005194202977452221,0.004478044073387737,0.006223680511435062,0.0046787700409648076
tft,0.0057738731537401436,0.005773740685434535,0.005797246938351315,0.005771297074261984,0.005783928420755113,0.00577894573607062
xgboost,0.004585181989334157,0.0038296255116257753,0.004744127768843704,0.00652244797141934,0.004526476295990613,0.003613105867767118
