,10,20,30,40,50,60
arima,0.046337403341522254,0.046337403341522254,0.046337403341522254,0.046337403341522254,0.046337403341522254,0.046337403341522254
da-rnn,0.3428691734245112,0.37595939750556456,0.2733859406206774,0.5637400489229719,0.6048495712218407,0.33234920710514404
deep-ar,0.00657580192864949,0.020941612134422267,0.010799066764342514,0.0208396851352079,0.0022293639457325333,0.011612836891450777
deep-state,0.029441013919268882,0.020366291374600318,0.029424460675708173,0.03144133868295485,0.02604736447827719,0.014390433990357812
lstm,0.013541635311524336,0.04085569853408221,0.01893107556866104,0.013696998581021268,0.03104447767973654,0.03903449427780238
tft,0.00174004382463705,0.0022490374883680185,0.001790003966389561,0.00258507851636803,0.001872906914490342,0.002006451899866005
mlp,0.05671889900648042,0.04232666155678451,0.04827250018281548,0.06448951262833237,0.07541949723235172,0.08359779392280607
rf,0.22777795374871534,0.23682928281787435,0.23287310787142715,0.2347504682689918,0.23489506273039915,0.24061381287234215
svr,0.0016125346036900555,0.003715487678391211,0.004678923068267248,0.00683036762454822,0.00971188565963444,0.009599738825554018
xgboost,0.25534785989519965,0.2587189197897614,0.2569738746046723,0.255020570790738,0.2555535555243195,0.2558325648665131
