,10,20,30,40,50,60
arima,0.2885399774297858,0.2885399774297858,0.2885399774297858,0.2885399774297858,0.2885399774297858,0.2885399774297858
da-rnn,0.42796579312810257,0.4294615460103562,0.43946687356368297,0.428891251188522,0.44702304919118463,0.45202962148469406
deep-ar,0.037728665134748075,0.03359487256461621,0.033673694196565684,0.03258998052866485,0.030861418970245625,0.04048338222892662
deep-state,0.0491727302457347,0.14101528125169993,0.06589599464468729,0.08529818292059425,0.061531005042001125,0.043796841148250595
lstm,0.4224422209092885,0.2140485758316746,0.38514869752421244,0.40372900281461055,0.3529348094515528,0.31168525246912354
tft,0.0249778429255251,0.024976765423109032,0.02497288116876256,0.02499199435486331,0.024988443754561575,0.024978613442026242
mlp,0.14219531607655356,0.059106209639106316,0.08534036932127999,0.05044753017942529,0.07096966600945016,0.054731825954271694
rf,0.2982152314319233,0.3140725764004471,0.318449574128972,0.3024952908062632,0.3028342920435198,0.2713779652044748
svr,0.030204947251238443,0.03663992746240958,0.03882527531191089,0.04800343373238629,0.02619634102853748,0.03710476134003873
xgboost,0.36522458599738183,0.37982330577305856,0.3807188283079058,0.3806208010189921,0.3797899942272097,0.3809119026534945
