,10,20,30,40,50,60
arima,0.0724359022882286,0.0724359022882286,0.0724359022882286,0.0724359022882286,0.0724359022882286,0.0724359022882286
da-rnn,0.030854722533406813,0.033031092299373746,0.03274178868271701,0.03402995444944133,0.03448351314881744,0.03138457790009168
deep-ar,0.006791559967808655,0.006318506828882348,0.006156310141233648,0.00575348552924227,0.006170456745170038,0.006973779116456193
deep-state,0.04398528970344231,0.1662912732213746,0.08226173742272759,0.01015820567046236,0.026945117870178087,0.007639016708877869
lstm,0.006778809869449184,0.00821521861118256,0.006704409599639707,0.008073274220789916,0.008723824814950246,0.01001358882900017
mlp,0.010624078346142072,0.010878102989708063,0.011441317385795699,0.01117605692631832,0.010137099978234036,0.010598163332340704
rf,0.007113400240469021,0.007239218120142042,0.006995387469184678,0.007043220240485935,0.007233872835100197,0.0066200085876621075
svr,0.006068035852098677,0.006539667477559919,0.006068638057890329,0.006068638057890329,0.00614737898955285,0.005689110447568391
tft,0.006173987160603062,0.006014362447660932,0.006093617692593057,0.006151346406888467,0.006096608511225023,0.0060522957996214264
xgboost,0.009363594372034227,0.009543073525706134,0.009392628564692557,0.008861112881683146,0.009277681655512368,0.010428963319695407
