,10,20,30,40,50,60
arima,0.26913918757443817,0.26913918757443817,0.26913918757443817,0.26913918757443817,0.26913918757443817,0.26913918757443817
da-rnn,0.17565512384615148,0.18174457983492587,0.18094692228031128,0.18447209666895786,0.18569736979509818,0.17715693014977335
deep-ar,0.08241092141099172,0.0794890359035908,0.07846215738324844,0.07585173385785107,0.07855225487005474,0.08350915588398791
deep-state,0.20972670240921232,0.40778827008801344,0.28681307052281907,0.10078792422935577,0.16414968129782673,0.08740146857391967
lstm,0.08233352822179543,0.09063784315164698,0.08188045920511015,0.08985140077255288,0.09340141762816154,0.10006792107863623
mlp,0.10307316986559631,0.10429814470884927,0.10696409390910437,0.1057168715310774,0.10068316631013367,0.10294738137680193
rf,0.08434097604645693,0.08508359489432755,0.08363843296705575,0.08392389552735226,0.08505217713321744,0.08136343520072212
svr,0.07789759850020202,0.08086821055000487,0.07790146377244993,0.07790146377244993,0.07840522297368237,0.07542619205268414
tft,0.07825579748564203,0.07879578537145375,0.07879620241593094,0.07862803596151198,0.07843126296382745,0.07828869763207973
xgboost,0.0967656673207715,0.09768865607482853,0.09691557441759584,0.09413348438086813,0.09632072287681591,0.10212229589906117
