,10,20,30,40,50,60
arima,0.16094725275377222,0.16094725275377222,0.1625202632733925,0.1625202632733925,0.1625202632733925,0.1625202632733925
da-rnn,0.1602269423331109,0.2309290365777229,0.11292916669342491,0.1842277368279931,0.17142729549441174,0.15994386076459582
deep-ar,0.10460084401023706,0.11376138069555296,0.09532709246779159,0.10952621094642241,0.11101814271215546,0.11220215882917713
deep-state,0.1689142211393142,0.14220399836798564,0.09179377580901664,0.10310941049652002,0.1659313607495269,0.13353538391344838
lstm,0.1604835424280413,0.1566399699078115,0.15685132726021053,0.15395810223115639,0.15653737463619988,0.15487307956501098
mlp,0.17972074543502917,0.15583602551846132,0.1567831608155137,0.14305856244044288,0.16293243916987651,0.1776106494672451
rf,0.14478418885930083,0.14270640066169568,0.14714532582062495,0.14362792359202423,0.12424246916420029,0.12020800878345174
svr,0.14936258640815092,0.13458697140625162,0.1708600103588792,0.1428935701593718,0.14302177951482106,0.14143411197143899
tft,0.1167986997314595,0.11714688660309011,0.11726396386065399,0.11689296851963321,0.11673686955653537,0.1163530713242736
xgboost,0.15667603391512103,0.1566411051207151,0.1568534097093559,0.15670515642899205,0.1567767245256215,0.15783037878516956
