,10,20,30,40,50,60
arima,0.14128309799502464,0.14128309799502464,0.14128309799502464,0.14128309799502464,0.14128309799502464,0.14128309799502464
da-rnn,0.2131546866853144,0.2765598596253888,0.14563156756665357,0.2795863448777021,0.29064928475172014,0.22745960149366895
deep-ar,0.16744280397330294,0.14728040237368917,0.14943895709056923,0.15090607895873753,0.15574852821954727,0.15280914681753238
deep-state,0.21146643561824674,0.14401557031687343,0.14136784739211686,0.15899331008743575,0.15110039189319036,0.1563674793733602
lstm,0.14336729773275023,0.15115837226785267,0.15926368041006875,0.14424452650600225,0.14379341544509236,0.1428468176198856
mlp,0.14279126989097451,0.1448894988580414,0.1477073954780423,0.1458494043343285,0.14956066029677242,0.14554178571857074
rf,0.14325353355662937,0.15007967617460502,0.15492922287816935,0.15544627884010323,0.16414507629878836,0.18165980740246426
svr,0.1432966070836112,0.1463356963959352,0.14637226747911372,0.15505196760394932,0.15471278389298967,0.1614971887448824
tft,0.18180068825272497,0.18198772141895556,0.18126829626796553,0.18164946782299937,0.18151484212059124,0.18165439775428838
xgboost,0.16497864789723457,0.18075497446103297,0.18897084620778437,0.18952000124588356,0.18744940723801506,0.1890735830495377
